model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;speech_metric;tercil;legis
PLIV_FE_cluster;backlog;-0.022086;0.030948;-1.0292;-3.8557;1.7974;0.475447;;96416;652;142;2.146015;speech_anti_gov_90d;low;pooled
PLIV_FE_cluster;backlog;0.053831;0.037396;2.6015;-0.9407;6.1437;0.150017;;99251;591;142;2.069241;speech_anti_gov_90d;mid;pooled
PLIV_FE_cluster;backlog;0.040401;0.029977;1.8166;-0.8252;4.4584;0.177734;;96375;582;142;2.224038;speech_anti_gov_90d;high;pooled
PLIV_FE_cluster;backlog;0.015352;0.034588;0.7019;-2.3978;3.8016;0.657156;;110647;580;142;2.187057;speech_pt_score_90d;low;pooled
PLIV_FE_cluster;backlog;0.035408;0.03043;1.6158;-1.106;4.3376;0.244598;;113663;654;142;2.191325;speech_pt_score_90d;mid;pooled
PLIV_FE_cluster;backlog;-0.065393;0.030357;-3.0614;-5.847;-0.2759;0.031229;**;110641;661;141;2.136027;speech_pt_score_90d;high;pooled
PLIV_FE_cluster;backlog;0.034236;0.026871;1.7877;-0.9625;4.538;0.202634;;36259;457;116;1.91502;speech_anti_gov_90d;low;leg55
PLIV_FE_cluster;backlog;-0.028594;0.027248;-1.3892;-3.984;1.2055;0.294004;;37339;398;116;2.05824;speech_anti_gov_90d;mid;leg55
PLIV_FE_cluster;backlog;0.083437;0.025496;3.7539;1.5056;6.0023;0.001066;***;36250;394;116;2.222644;speech_anti_gov_90d;high;leg55
PLIV_FE_cluster;backlog;0.03872;0.028744;1.7698;-0.8053;4.3449;0.177962;;37964;388;116;2.187834;speech_pt_score_90d;low;leg55
PLIV_FE_cluster;backlog;0.005846;0.021403;0.2756;-1.7016;2.2527;0.784729;;39080;431;116;2.121669;speech_pt_score_90d;mid;leg55
PLIV_FE_cluster;backlog;0.022148;0.028339;1.1604;-1.7498;4.0706;0.4345;;37990;456;116;1.908651;speech_pt_score_90d;high;leg55
PLIV_FE_cluster;backlog;-0.013905;0.031517;-0.6402;-3.4843;2.2039;0.659064;;60135;333;129;2.171966;speech_anti_gov_90d;low;leg56
PLIV_FE_cluster;backlog;0.008022;0.02277;0.3936;-1.7961;2.5832;0.724609;;61935;302;131;2.038158;speech_anti_gov_90d;mid;leg56
PLIV_FE_cluster;backlog;-0.034263;0.024903;-1.6264;-3.9432;0.6905;0.168864;;60124;292;131;2.106736;speech_anti_gov_90d;high;leg56
PLIV_FE_cluster;backlog;0.002881;0.021917;0.1365;-1.8979;2.1708;0.895411;;72587;308;130;2.11156;speech_pt_score_90d;low;leg56
PLIV_FE_cluster;backlog;-0.014691;0.018522;-0.7118;-2.4707;1.0472;0.4277;;74743;361;131;2.063924;speech_pt_score_90d;mid;leg56
PLIV_FE_cluster;backlog;-0.028461;0.022254;-1.3078;-3.312;0.6964;0.200918;;72587;363;129;2.17632;speech_pt_score_90d;high;leg56
