control;pooled_pass;pre_pass;post_pass;pooled_miss;pre_miss;post_miss;pre_unique;post_unique
d_ori_gov_sim;True;True;True;0.0;0.0;0.0;2;2
d_ori_gov_nao;True;True;True;0.0;0.0;0.0;2;2
d_ori_gov_obstrucao;True;False;True;0.0;0.0;0.0;1;2
idade;True;True;True;0.0;0.0;0.0;559;548
d_homem;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_MPV;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_MSC;True;False;True;0.0;0.0;0.0;1;2
d_tipoVotacao_PDC;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_PDL;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_PEC;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_PL;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_PLP;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_PRC;True;False;True;0.0;0.0;0.0;1;2
d_tipoVotacao_REC;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_REL;True;False;True;0.0;0.0;0.0;1;2
d_tipoVotacao_REQ;True;True;True;0.0;0.0;0.0;2;2
d_tema_AP;True;True;True;0.0;0.0;0.0;2;2
d_tema_APPE;True;False;True;0.0;0.0;0.0;1;2
d_tema_COM;True;False;True;0.0;0.0;0.0;1;2
d_tema_CTI;True;False;True;0.0;0.0;0.0;1;2
d_tema_DCPC;True;True;False;0.0;0.0;0.0;2;1
d_tema_DDC;True;True;False;0.0;0.0;0.0;2;1
d_tema_DHM;True;False;True;0.0;0.0;0.0;1;2
d_tema_ECO;True;False;True;0.0;0.0;0.0;1;2
d_tema_EDU;True;True;True;0.0;0.0;0.0;2;2
d_tema_EL;True;True;False;0.0;0.0;0.0;2;1
d_tema_ERHM;True;False;True;0.0;0.0;0.0;1;2
d_tema_FPO;True;True;True;0.0;0.0;0.0;2;2
d_tema_ICS;True;False;True;0.0;0.0;0.0;1;2
d_tema_MADS;True;True;False;0.0;0.0;0.0;2;1
d_tema_PAS;True;True;True;0.0;0.0;0.0;2;2
d_tema_RICE;True;True;False;0.0;0.0;0.0;2;1
d_tema_SAU;True;True;True;0.0;0.0;0.0;2;2
d_tema_TE;True;True;False;0.0;0.0;0.0;2;1
d_tema_VTM;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_meta_CVO;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_meta_EMS;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_meta_MSC;True;False;True;0.0;0.0;0.0;1;2
d_tipoVotacao_meta_PEP;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_meta_PES;True;False;True;0.0;0.0;0.0;1;2
d_tipoVotacao_meta_PLV;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_meta_PPP;True;True;True;0.0;0.0;0.0;2;2
